                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      73                                      997                  1.0000000000000000E+001                  2.0000000000000000E-002                  1.2082659267415022E+007                  2.2802990300722065E+005                  2.3274159267322968E+004                  7.8887248962872718E+003                  5.4703389693339615E+000                 -5.5340332410809161E+000                  3.9924152823190395E-001                  3.0704576788379952E-008                  5.8122445913668386E-001                  1.3337501906627618E-004                  1.1989500440651278E-002                  1.1985490237116777E-003                  2.0539441734845130E-003                  1.0000000000000000E+001                  0.0000000000000000E+000                  6.1830918497874467E+000                  1.8198819740216233E-004                  3.6168025441888472E+000                  1.6930389450224494E-002                  5.1416266219413420E-002                  6.9451384851965239E-002                  2.0539441734845201E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999974164311E+000                  5.4542614919932388E+000                  9.9999999739815948E+000                  5.4224331745863497E+000                  4.0509317738096477E+004                  5.4394938443071929E+004                  1.2676319850761145E+007                  7.9028854924492771E+003                  7.9028854924492780E+003                  7.8842149781875118E-030                  5.3963763685420474E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8130637336665088E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                   radius                    pressure_scale_height                              temperature                                      rho                                 pressure                                     abar                                  opacity                        mlt_mixing_length                                 conv_vel                             log_conv_vel                         log_conv_vel_old                                 super_ad                       conv_vel_div_L_vel                          B_equipartition 
                                       1                  1.0000000000000000E+001                  7.3801423820731937E-001                  4.3673397018308719E+000                 -9.0652920535263561E+000                  3.5183906560106379E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1592703272035778E+003                  5.4703389693339615E+000                  6.0148537612934854E-003                  2.3299129852655085E+004                  8.6041494738393022E-010                  3.2990633566862216E+003                  1.2966440175506924E+000                  2.1026352883251263E+000                  8.3724358415700805E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999949996E+000                  7.3800699896988720E-001                  4.3688540717967452E+000                 -9.0548950202580087E+000                  3.5289923131200505E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1595756833139567E+003                  5.4702477852313969E+000                  6.0174877965543079E-003                  2.3380514930518704E+004                  8.8126187010322415E-010                  3.3805885261438257E+003                  1.2966440175506924E+000                  2.1226635613000329E+000                  8.3733872149756432E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999837001E+000                  7.3799102416007523E-001                  4.3704809221339742E+000                 -9.0440328045837912E+000                  3.5401577573914751E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1602495480104408E+003                  5.4700465748442610E+000                  6.0212477519610711E-003                  2.3468261680801723E+004                  9.0358121882484793E-010                  3.4686282542913300E+003                  1.2966440175506924E+000                  2.1435314937460972E+000                  8.3792755404995382E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999774012E+000                  7.3798233715810813E-001                  4.3716406040731748E+000                 -9.0364773618212109E+000                  3.5479790699053542E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1606160122398214E+003                  5.4699371609969862E+000                  6.0246939910252248E-003                  2.3531011932820118E+004                  9.1943840050712653E-010                  3.5316614913119447E+003                  1.2966440175506924E+000                  2.1579980230618547E+000                  8.3835892106815755E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999711005E+000                  7.3797379946943531E-001                  4.3734440448830556E+000                 -9.0250203248242613E+000                  3.5599256078580077E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  9.1609761919202465E+003                  5.4698296299012634E+000                  6.0312512195507505E-003                  2.3628929410635603E+004                  9.4401669561309601E-010                  3.6301586691803254E+003                  1.2966440175506924E+000                  2.1798431924963957E+000                  8.3888841532909465E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999999577138E+000                  7.3795612763940921E-001                  4.3759478357524335E+000                 -9.0096412741016660E+000                  3.5761197879006308E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1617217588380627E+003                  5.4696070621807058E+000                  6.0420901967591159E-003                  2.3765548152581989E+004                  9.7804474933878669E-010                  3.7680771644743177E+003                  1.2966440175506924E+000                  2.2089965307706314E+000                  8.4023768252982616E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999999435385E+000                  7.3793806506454351E-001                  4.3784971685754188E+000                 -8.9945665371512042E+000                  3.5921722911573846E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  9.1624838738177732E+003                  5.4693795825862930E+000                  6.0552049230419933E-003                  2.3905463498973262E+004                  1.0125896006567704E-009                  3.9099597901806269E+003                  1.2966440175506928E+000                  2.2373452832905238E+000                  8.4192901477269387E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999999293632E+000                  7.3792061656084296E-001                  4.3810189662097425E+000                 -8.9801825525365437E+000                  3.6076549906045456E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1632201394665535E+003                  5.4691598455718724E+000                  6.0700555166886567E-003                  2.4044678039773229E+004                  1.0466884876526855E-009                  4.0518652192002251E+003                  1.2966440175506926E+000                  2.2641715082971130E+000                  8.4387768940000844E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999999151878E+000                  7.3790373449066782E-001                  4.3834086055528507E+000                 -8.9669920257532905E+000                  3.6219941323246276E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1639325599210515E+003                  5.4689472503176759E+000                  6.0856576018892923E-003                  2.4177344879028278E+004                  1.0789665333642065E-009                  4.1878790691089471E+003                  1.2966440175506924E+000                  2.2885779693925388E+000                  8.4604606281805146E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
